Location,Layer,Orig_TOP,Orig_BOT,Orig_IBOUND,DEM_TOP,DEM_BOT,Rule,Res_TOP,Res_BOT,Res_IBOUND
Nourishment,12,-0.006000000052154064,-0.2639999985694885,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-0.006000000052154064,-0.2639999985694885,1
Nourishment,13,-0.2639999985694885,-0.5,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-0.2639999985694885,-0.5,1
Nourishment,14,-0.5,-1.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-0.5,-1.0,1
Nourishment,15,-1.0,-1.5,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-1.0,-1.5,1
Nourishment,16,-1.5,-2.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-1.5,-2.0,1
Nourishment,17,-2.0,-2.5,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-2.0,-2.5,1
Nourishment,18,-2.5,-3.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-2.5,-3.0,1
Nourishment,19,-3.0,-4.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-3.0,-4.0,1
Nourishment,20,-4.0,-5.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-4.0,-5.0,1
Nourishment,21,-5.0,-6.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-5.0,-6.0,1
Nourishment,22,-6.0,-7.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-6.0,-7.0,1
Nourishment,23,-7.0,-8.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-7.0,-8.0,1
Nourishment,24,-8.0,-9.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-8.0,-9.0,1
Nourishment,25,-9.0,-10.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-9.0,-10.0,1
Nourishment,26,-10.0,-20.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-10.0,-20.0,1
Nourishment,27,-20.0,-30.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-20.0,-30.0,1
Nourishment,28,-30.0,-40.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-30.0,-40.0,1
Nourishment,29,-40.0,-50.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-40.0,-50.0,1
Nourishment,30,-50.0,-70.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-50.0,-70.0,1
Nourishment,31,-70.0,-90.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-70.0,-90.0,1
Nourishment,32,-90.0,-110.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-90.0,-110.0,1
Nourishment,33,-110.0,-130.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-110.0,-130.0,1
Nourishment,34,-130.0,-150.0,1,2.8359999656677246,2.8359999656677246,No change (not upper active layer),-130.0,-150.0,1
Polder,0,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,1,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,2,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,3,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,4,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,5,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,6,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,7,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
Polder,8,0.6919999718666077,0.6919999718666077,0,0.6919999718666077,0.6919999718666077,Inactive (originally),0.6919999718666077,0.6919999718666077,0
